RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location,year,month,Latitude,Longitude
7403213,P191392342,05/19/2019 02:30:00 PM,Non-Emergency,CD,Hot Spot Check,500 DOLPHIN ST,21217.0,Upton,Central,123.0,11.0,D8,Upton/Druid Heights,Census Tract 1702,Central,"500 DOLPHIN ST
BALTIMORE, MD
(39.300901, -76.627919)",2019,5,39.30096595,-76.62803987024998
7297177,P191392618,05/19/2019 03:49:00 PM,Non-Emergency,SW,Business Check,400 NORMANDY AV,21229.0,Allendale,Southwestern,843.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,,"400 NORMANDY AV
BALTIMORE, MD
(39.291779, -76.681441)",2019,5,39.2917573,-76.6817172508493
7319240,P191392630,05/19/2019 03:51:00 PM,Non-Emergency,WD,Hot Spot Check,1800 N MOUNT ST,21217.0,Sandtown-Winchester,Western,742.0,7.0,D9,Sandtown-Winchester/Harlem Park,Census Tract 1502,Western,"1800 N MOUNT ST
BALTIMORE, MD
(39.309009, -76.644937)",2019,5,39.308997500000004,-76.64515880393586
7473910,P200582470,02/27/2020 02:02:00 PM,Low,SD,SQUEEGEE DIST,W PATAPSCO AV/HOLLINS FERRY RD,21230.0,Lakeland,Southern,923.0,10.0,D7,Westport/Mount Winans/Lakeland,Census Tract 2502.05,,"W PATAPSCO AV
BALTIMORE, MD",2020,2,39.2507103,-76.643361
1108,P190530102,02/22/2019 12:29:00 AM,Non-Emergency,WD,Hot Spot Check,PENNSYLVANIA AV/BLOOM ST,21217.0,Upton,Central,123.0,11.0,D8,Upton/Druid Heights,Census Tract 1403,,"PENNSYLVANIA AV
BALTIMORE, MD",2019,2,39.3043084,-76.6355982
7276808,P191392564,05/19/2019 03:38:00 PM,Non-Emergency,WD,Hot Spot Check,2800 WOODBROOK AV,21217.0,Parkview/Woodbrook,Western,732.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1304,Western,"2800 WOODBROOK AV
BALTIMORE, MD
(39.314118, -76.645846)",2019,5,39.313954,-76.645772
7266577,P191392015,05/19/2019 01:04:00 PM,Non-Emergency,SW,Hot Spot Check,200 N HILTON ST,21229.0,Saint Josephs,Southwestern,842.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,,"200 N HILTON ST
BALTIMORE, MD
(39.288781, -76.672436)",2019,5,39.288761449999996,-76.67276484731218
7444113,P191392409,05/19/2019 02:50:00 PM,Non-Emergency,WD,Hot Spot Check,PENNSYLVANIA AV/W NORTH AV,21217.0,Penn North,Western,733.0,7.0,D9,Penn North/Reservoir Hill,Census Tract 1501,Western,"W PENNSYLVANIA AV
BALTIMORE, MD",2019,5,39.4008822,-76.6064143
7276779,P191392042,05/19/2019 01:09:00 PM,Non-Emergency,WD,Hot Spot Check,W NORTH AV/PENNSYLVANIA AV,21217.0,Penn North,Western,733.0,7.0,D9,Greater Mondawmin,Census Tract 1504,Western,"W NORTH AV
BALTIMORE, MD",2019,5,39.311028,-76.6211036
7287809,P191392463,05/19/2019 03:16:00 PM,Non-Emergency,WD,Business Check,1900 W LAFAYETTE AV,21217.0,Midtown-Edmondson,Western,722.0,9.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1604,,"1900 W LAFAYETTE AV
BALTIMORE, MD
(39.298725, -76.647836)",2019,5,39.2988703,-76.6476967
7297191,P191392107,05/19/2019 01:27:00 PM,Non-Emergency,SD,Business Check,100 E GARRETT ST,21225.0,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,,"100 E GARRETT ST
BALTIMORE, MD",2019,5,39.2356931,-76.6061985
7444239,P191392512,05/19/2019 03:28:00 PM,Non-Emergency,NE,Business Check,2900 HILLEN RD,21218.0,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,Midway/Coldstream,Census Tract 906,,"2900 HILLEN RD
BALTIMORE, MD
(39.324866, -76.588991)",2019,5,39.324709,-76.588998
7473918,P200582427,02/27/2020 01:43:00 PM,Non-Emergency,SD,Repo,1600 WICOMICO ST,21230.0,Carroll - Camden Industrial Area,Southern,941.0,10.0,D7,Washington Village/Pigtown,Census Tract 2102,,"1600 WICOMICO ST
BALTIMORE, MD
(39.274473, -76.635464)",2020,2,39.27452640397468,-76.63568561419187
7403256,P191392507,05/19/2019 03:27:00 PM,Non-Emergency,WD,Business Check,900 HARLEM AV,21217.0,Harlem Park,Western,713.0,9.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1601,Central,"900 HARLEM AV
BALTIMORE, MD
(39.296853, -76.633511)",2019,5,39.2970007,-76.6334818
7306766,P191392540,05/19/2019 03:35:00 PM,Non-Emergency,NE,Business Check,1500 HAVENWOOD RD,21218.0,Hillen,Northeastern,412.0,3.0,D4,Northwood,Census Tract 2709.03,,"1500 HAVENWOOD RD
BALTIMORE, MD
(39.340655, -76.591179)",2019,5,39.341201749999996,-76.59097426261417
7473532,P200582053,02/27/2020 11:57:00 AM,Medium,CD,DISORDERLY,500 PARK AV,21201.0,Mount Vernon,Central,142.0,11.0,D8,Midtown,Census Tract 1102,,"500 PARK AV
BALTIMORE, MD
(39.295291, -76.618276)",2020,2,39.295418049999995,-76.61894746991535
7297070,P191392040,05/19/2019 01:09:00 PM,Non-Emergency,SD,Traffic Stop,200 E PATAPSCO AV,21225.0,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,,"200 E PATAPSCO AV
BALTIMORE, MD
(39.238225, -76.608552)",2019,5,39.238291,-76.60839
7287742,P191392089,05/19/2019 01:22:00 PM,Non-Emergency,SD,Business Check,1300 S CAREY ST,21230.0,Washington Village/Pigtown,Southern,932.0,10.0,D7,Washington Village/Pigtown,Census Tract 2102,,"1300 S CAREY ST
BALTIMORE, MD
(39.279727, -76.634227)",2019,5,39.2796313,-76.63435156041051
7287762,P191392563,05/19/2019 03:38:00 PM,Non-Emergency,WD,Hot Spot Check,2200 RUSKIN AV,21217.0,Parkview/Woodbrook,Western,732.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1304,Western,"2200 RUSKIN AV
BALTIMORE, MD
(39.315006, -76.647721)",2019,5,39.3151669,-76.6479371304878
7474030,P200582551,02/27/2020 02:31:00 PM,Low,WD,DESTRUCT PROP,1800 W FAYETTE ST,21223.0,Franklin Square,Western,711.0,9.0,D8,Southwest Baltimore,Census Tract 2001,,"1800 W FAYETTE ST
BALTIMORE, MD
(39.289475, -76.645464)",2020,2,39.2896839,-76.6454243
7473708,P200582219,02/27/2020 12:46:00 PM,Non-Emergency,CD,Private Tow,1100 BOLTON ST,21201.0,Madison Park,Central,132.0,11.0,D8,Upton/Druid Heights,Census Tract 1702,,"1100 BOLTON ST
BALTIMORE, MD
(39.30354, -76.62265)",2020,2,39.3035711,-76.62359431449386
7287667,P191392080,05/19/2019 01:19:00 PM,Non-Emergency,WD,Business Check,1500 W BALTIMORE ST,21223.0,Franklin Square,Western,711.0,9.0,D8,Southwest Baltimore,Census Tract 1902,Tri-District,"1500 W BALTIMORE ST
BALTIMORE, MD
(39.288377, -76.641123)",2019,5,39.28861525,-76.64112509301206
7266648,P191392392,05/19/2019 02:44:00 PM,Non-Emergency,WD,Hot Spot Check,1700 BLK N MOUNT ST,21217.0,Sandtown-Winchester,Western,742.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,Western,"1700 BLK N MOUNT ST
BALTIMORE, MD
(39.308016, -76.644883)",2019,5,39.308127,-76.645024
7444112,P191392059,05/19/2019 01:13:00 PM,Non-Emergency,CD,COMMUNITY ENGAGE,700 WASHINGTON PL,21201.0,Mount Vernon,Central,142.0,11.0,D8,Midtown,Census Tract 1102,,"700 WASHINGTON PL
BALTIMORE, MD
(39.29796, -76.615884)",2019,5,39.2980713,-76.6161596
7319207,P191392617,05/19/2019 03:48:00 PM,Non-Emergency,ND,COMMUNITY ENGAGE,5400 YORK RD,21212.0,Homeland,Northern,523.0,4.0,D2,North Baltimore/Guilford/Homeland,Census Tract 2710.02,,"5400 YORK RD
BALTIMORE, MD
(39.356169, -76.609901)",2019,5,39.35566085,-76.61018915426999
7297203,P191392514,05/19/2019 03:28:00 PM,Non-Emergency,NE,Business Check,2900 HILLEN RD,21218.0,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,Midway/Coldstream,Census Tract 906,,"2900 HILLEN RD
BALTIMORE, MD
(39.324866, -76.588991)",2019,5,39.324709,-76.588998
7306750,P191392178,05/19/2019 01:45:00 PM,Non-Emergency,NE,COMMUNITY ENGAGE,3400 BELAIR RD,21213.0,Belair-Edison,Northeastern,432.0,13.0,D5,Belair-Edison,Census Tract 801.01,Northeastern,"3400 BELAIR RD
BALTIMORE, MD
(39.322408, -76.572563)",2019,5,39.3226174,-76.5726034
7276987,P191392457,05/19/2019 03:12:00 PM,Non-Emergency,WD,Business Check,900 N MONROE ST,21217.0,Midtown-Edmondson,Western,722.0,9.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1604,,"900 N MONROE ST
BALTIMORE, MD
(39.299101, -76.647544)",2019,5,39.299088999999995,-76.6477431875
7319191,P191392493,05/19/2019 03:25:00 PM,Non-Emergency,WD,Business Check,1400 W BALTIMORE ST,21223.0,Franklin Square,Western,711.0,9.0,D8,Southwest Baltimore,Census Tract 1901,Tri-District,"1400 W BALTIMORE ST
BALTIMORE, MD
(39.288438, -76.639717)",2019,5,39.288673599999996,-76.63973805675685
7319175,P191392166,05/19/2019 01:43:00 PM,Non-Emergency,WD,Business Check,2500 PENNSYLVANIA AV,21217.0,Penn North,Western,733.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1303,Western,"2500 PENNSYLVANIA AV
BALTIMORE, MD
(39.310664, -76.643269)",2019,5,39.3104421,-76.64331573704959
7297206,P191392604,05/19/2019 03:46:00 PM,Non-Emergency,WD,Hot Spot Check,2800 EDMONDSON AV,21223.0,Mosher,Western,721.0,9.0,D8,Greater Rosemont,Census Tract 1606,,"2800 EDMONDSON AV
BALTIMORE, MD
(39.294476, -76.662976)",2019,5,39.294572,-76.663103
7473545,P200582034,02/27/2020 11:51:00 AM,Medium,SD,NARCOTICS,600 S PAYSON ST,21223.0,Carrollton Ridge,Southern,934.0,9.0,D8,Southwest Baltimore,Census Tract 2003,,"600 S PAYSON ST
BALTIMORE, MD
(39.280674, -76.647206)",2020,2,39.28060135,-76.64742727085506
7266611,P191392631,05/19/2019 03:51:00 PM,Non-Emergency,SW,Business Check,3900 EDMONDSON AV,21229.0,Allendale,Southwestern,843.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,,"3900 EDMONDSON AV
BALTIMORE, MD
(39.293856, -76.681354)",2019,5,39.29403015,-76.68136557160172
7287743,P191392237,05/19/2019 02:01:00 PM,Non-Emergency,WD,Hot Spot Check,2500 EDMONDSON AV,21223.0,Rosemont Homeowners/Tenants,Western,721.0,9.0,D8,Greater Rosemont,Census Tract 1605,,"2500 EDMONDSON AV
BALTIMORE, MD
(39.294714, -76.656533)",2019,5,39.29494765,-76.65672477450875
7319223,P191392569,05/19/2019 03:39:00 PM,Non-Emergency,WD,Hot Spot Check,BAKER ST/MCKEAN AV,21217.0,Sandtown-Winchester,Western,742.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1502,Western,"BAKER ST
BALTIMORE, MD",2019,5,39.3063867,-76.6539076
7319190,P191392249,05/19/2019 02:03:00 PM,Non-Emergency,WD,Hot Spot Check,800-900 W LEXINGTON ST,21201.0,Poppleton,Western,712.0,9.0,D8,Poppleton/The Terraces/Hollins Market,Census Tract 1801,,"800 900 W LEXINGTON ST
BALTIMORE, MD
(39.291089, -76.630267)",2019,5,39.2911529,-76.6291399
7306734,P191392385,05/19/2019 02:43:00 PM,Non-Emergency,ND,Business Check,3200 GREENMOUNT AV,21218.0,Better Waverly,Northern,513.0,14.0,D5,The Waverlies,Census Tract 905,,"3200 GREENMOUNT AV
BALTIMORE, MD
(39.327394, -76.609419)",2019,5,39.3273776,-76.609562
7276988,P191392576,05/19/2019 03:41:00 PM,Non-Emergency,SW,Business Check,1000 POPLAR GROVE ST,21216.0,Mosher,Western,721.0,9.0,D8,Greater Rosemont,Census Tract 1606,,"1000 POPLAR GROVE ST
BALTIMORE, MD
(39.299323, -76.665188)",2019,5,39.29930495,-76.66550537922535
7266568,P191392192,05/19/2019 01:50:00 PM,Non-Emergency,WD,Hot Spot Check,1400 MOSHER ST,21217.0,Sandtown-Winchester,Western,743.0,9.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1602,Central,"1400 MOSHER ST
BALTIMORE, MD
(39.300063, -76.640314)",2019,5,39.300215449999996,-76.64033047850947
7403228,P191392112,05/19/2019 01:28:00 PM,Non-Emergency,SW,FOLLOW UP,900 POPLAR GROVE ST,21216.0,Mosher,Western,721.0,9.0,D8,Greater Rosemont,Census Tract 1606,,"900 POPLAR GROVE ST
BALTIMORE, MD
(39.298174, -76.665121)",2019,5,39.298146450000004,-76.66536623505166
